Nr_sectie,Sectie_vot,Localitate,Inscrisi_permanente,Inscrisi_complementare,Votanti_permanente,Votanti_compl,Votanti-supl,Votanti_um,Total,Prezenta
1,?COALA GIMNAZIAL? NR.3,PIATRA-NEAM?,920,8,281,0,8,0,289,31.14
2,?COALA GIMNAZIAL? NR.3,PIATRA-NEAM?,926,0,291,0,11,0,302,32.61
3,?COALA GIMNAZIAL? NR.3,PIATRA-NEAM?,1.117,6,377,0,11,0,388,34.55
4,GR?DINI?A CU PROGRAM PRELUNGIT NR.6,PIATRA-NEAM?,967,0,322,0,15,0,337,34.85
5,COLEGIUL NA?IONAL ”PETRU RARE?”,PIATRA-NEAM?,1.748,5,385,0,7,0,392,22.36
6,LICEUL DE ARTE ”VICTOR BRAUNER” - CORPUL B,PIATRA-NEAM?,1.245,1,396,0,11,0,407,32.66
7,COLEGIUL NA?IONAL ”CALISTRAT HOGA?”,PIATRA-NEAM?,913,4,336,1,9,1,347,37.84
8,LICEUL TEHNOLOGIC ”SPIRU HARET”,PIATRA-NEAM?,1.253,2,401,0,11,0,412,32.82
9,LICEUL TEHOLOGIC ”SPIRU HARET”,PIATRA-NEAM?,1.1,0,366,0,13,0,379,34.45
10,GR?DINI?A CU PROGRAM PRELUNGIT NR.3 CORP B,PIATRA-NEAM?,1.018,1,327,0,12,1,340,33.36
11,LICEUL CU PROGRAM SPORTIV,PIATRA-NEAM?,1.3,1,446,0,9,0,455,34.97
12,LICEUL CU PROGRAM SPORTIV,PIATRA-NEAM?,1.121,0,378,0,9,0,387,34.52
13,?COALA GIMNAZIAL? NR.8,PIATRA-NEAM?,1.276,1,422,0,13,0,435,34.06
14,?COALA GIMNAZIAL? NR.8,PIATRA-NEAM?,1.438,0,424,0,9,0,433,30.11
15,GR?DINI?A CUPLAT? CU CRE?? NR.5,PIATRA-NEAM?,1.398,2,445,0,11,0,456,32.57
16,GR?DINI?A CUPLAT? CU CRE?? NR.5,PIATRA-NEAM?,1.053,1,305,0,5,0,310,29.41
17,GR?DINI?A CU PROGRAM PRELUNGIT NR.8,PIATRA-NEAM?,903,0,255,0,10,0,265,29.34
18,GR?DINI?A CU PROGRAM NORMAL OCOL,PIATRA-NEAM?,1.863,2,576,0,50,21,647,34.69
19,CENTRUL DE SPRIJIN ?I ASISTEN?? DE SPECIALITATE PENTRU COPII,PIATRA-NEAM?,1.448,2,365,0,17,0,382,26.34
20,?COALA GIMNAZIAL? NR.11,PIATRA-NEAM?,1.427,0,437,0,7,0,444,31.11
21,COLEGIUL NA?IONAL ”GH. ASACHI”,PIATRA-NEAM?,931,0,217,0,9,0,226,24.27
22,COLEGIUL NA?IONAL ”GH. ASACHI”,PIATRA-NEAM?,1.072,0,265,0,13,0,278,25.93
23,?COALA GIMNAZIAL? NR.5,PIATRA-NEAM?,1.495,1,384,0,6,0,390,26.06
24,?COALA GIMNAZIAL? NR.5,PIATRA-NEAM?,1.377,3,425,0,8,1,434,31.44
25,GR?DINI?A CU PROGRAM PRELUNGIT NR.12,PIATRA-NEAM?,1.331,1,360,0,14,0,374,28.07
26,GR?DINI?A CU PROGRAM PRELUNGIT NR.12,PIATRA-NEAM?,1.241,1,344,0,10,0,354,28.50
27,GR?DINI?A CU PROGRAM PRELUNGIT NR.12,PIATRA-NEAM?,1.327,0,373,0,13,0,386,29.08
28,CENTRUL SOCIAL PIETRICICA,PIATRA-NEAM?,1.587,0,535,0,9,0,544,34.27
29,COLEGIUL NA?IONAL DE INFORMATIC?,PIATRA-NEAM?,1.541,8,440,0,6,0,446,28.79
30,COLEGIUL NA?IONAL DE INFORMATIC?,PIATRA-NEAM?,1.526,6,576,0,9,3,588,38.38
31,COLEGIUL NA?IONAL DE INFORMATIC?,PIATRA-NEAM?,1.651,1,494,0,6,0,500,30.26
32,COLEGIUL NA?IONAL DE INFORMATIC?,PIATRA-NEAM?,1.366,3,440,0,11,0,451,32.94
33,COLEGIUL NA?IONAL DE INFORMATIC?,PIATRA-NEAM?,1.013,1,248,0,7,0,255,25.14
34,COLEGIUL NA?IONAL DE INFORMATIC?,PIATRA-NEAM?,906,0,289,0,7,0,296,32.67
35,?COALA GIMNAZIAL? NR.7,PIATRA-NEAM?,1.618,3,532,1,9,0,542,33.43
