precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,castigator,CUC_ALEXANDRU_RĂZVAN_PSD,"FRĂŢILĂ VALERICĂ-PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE",CUCU RALUCA-ALIANȚA PENTRU UNIREA ROMÂNILOR,IRIMIA_MARIUS_IOAN_ALIANȚA_USR_PLUS,ROTARIU DANIEL-PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ,ENACHE NICOLAE-CIPRIAN-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE,CHITIC_DRAGOŞ_VICTOR_PMP,CARABELEA_ANDREI_PNL,HARBUZ LIVIU-PARTIDUL PRO ROMÂNIA
29,NEAMŢ,CASA CORPULUI DIDACTIC,54,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1287,1274,3,8,2,471,460,1,8,2,447,24,1400,929,3,84,2,14,45,5,33,112,116,36
29,NEAMŢ,CENTRUL DE SPRIJIN ȘI ASISTENȚĂ DE SPECIALITATE PENTRU COPII,19,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PROV,PRCNCT,P,P_SV,28/09/2020 11:10,1467,1448,2,17,0,391,374,0,17,0,379,12,1600,1209,2,71,3,13,47,7,24,91,84,39
29,NEAMŢ,CENTRUL SOCIAL - CARTIER SPERANŢA,36,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PROV,PRCNCT,P,P_SV,28/09/2020 11:10,939,926,0,13,0,346,333,0,13,0,327,17,1000,637,3,41,2,15,33,3,32,91,92,18
29,NEAMŢ,CENTRUL SOCIAL PIETRICICA,28,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1597,1587,0,9,1,558,548,0,9,1,530,28,1801,1243,1,133,3,13,57,3,44,98,132,47
29,NEAMŢ,CLĂDIRE ADMINISTRATIVĂ S.C. CMI URBAN S.A. (ŞTRAND MUNICIPAL),37,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PROV,PRCNCT,P,P_SV,28/09/2020 11:10,744,738,0,6,0,262,256,0,6,0,244,18,800,538,2,54,0,10,11,2,19,77,58,13
29,NEAMŢ,COLEGIUL NAȚIONAL ”CALISTRAT HOGAȘ”,7,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,926,912,4,9,1,354,343,1,9,1,342,11,1000,647,3,48,4,5,53,5,18,81,104,24
29,NEAMŢ,COLEGIUL NAȚIONAL DE INFORMATICĂ,30,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1544,1526,6,9,3,603,591,0,9,3,591,12,1700,1097,3,69,6,9,90,3,82,117,148,67
29,NEAMŢ,COLEGIUL NAȚIONAL DE INFORMATICĂ,34,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,913,906,0,7,0,298,291,0,7,0,286,12,1000,702,3,57,1,7,37,3,14,59,87,21
29,NEAMŢ,COLEGIUL NAȚIONAL DE INFORMATICĂ,33,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PROV,PRCNCT,P,P_SV,28/09/2020 11:10,1020,1013,0,7,0,261,254,0,7,0,240,19,1100,840,2,37,0,12,22,5,17,81,42,24
29,NEAMŢ,COLEGIUL NAȚIONAL DE INFORMATICĂ,32,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1380,1366,3,11,0,459,448,0,11,0,434,25,1500,1041,3,74,4,13,64,7,28,82,123,39
29,NEAMŢ,COLEGIUL NAȚIONAL DE INFORMATICĂ,29,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1555,1541,8,6,0,461,455,0,6,0,442,19,1700,1239,3,86,3,8,75,3,20,106,116,25
29,NEAMŢ,COLEGIUL NAȚIONAL DE INFORMATICĂ,31,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1651,1645,0,6,0,512,506,0,6,0,487,25,1800,1288,3,106,5,16,59,9,21,111,114,46
29,NEAMŢ,COLEGIUL NAȚIONAL ”GH. ASACHI”,21,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,941,931,0,10,0,228,218,0,10,0,219,9,1000,772,3,52,4,11,11,0,21,40,64,16
29,NEAMŢ,COLEGIUL NAȚIONAL ”GH. ASACHI”,22,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1085,1072,0,13,0,281,268,0,13,0,264,17,1200,919,3,46,2,8,36,3,17,47,83,22
29,NEAMŢ,COLEGIUL NAȚIONAL ”PETRU RAREȘ”,5,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1758,1748,3,7,0,400,393,0,7,0,391,9,1900,1500,3,57,1,8,53,3,24,90,115,40
29,NEAMŢ,COLEGIUL TEHNIC DE TRANSPORTURI,55,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1209,1183,0,15,11,373,347,0,15,11,357,16,1300,927,3,68,1,10,42,3,19,73,110,31
29,NEAMŢ,COLEGIUL TEHNIC FORESTIER,57,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1360,1348,3,9,0,495,486,0,9,0,481,14,1500,1005,3,77,8,5,43,2,29,121,147,49
29,NEAMŢ,COLEGIUL TEHNIC FORESTIER,56,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1263,1254,1,8,0,401,393,0,8,0,389,12,1400,999,3,92,1,3,66,2,20,86,93,26
29,NEAMŢ,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,59,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PROV,PRCNCT,P,P_SV,28/09/2020 11:10,1408,1370,3,6,29,520,485,0,6,29,472,19,1500,981,3,92,5,12,69,2,13,97,138,44
29,NEAMŢ,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,61,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1282,1268,3,11,0,454,443,0,11,0,445,9,1400,946,3,86,6,11,61,3,33,91,113,41
29,NEAMŢ,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,60,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,897,888,0,9,0,288,279,0,9,0,278,10,1000,712,3,41,0,5,34,4,9,77,90,18
29,NEAMŢ,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,62,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1320,1309,0,11,0,325,314,0,11,0,316,9,1400,1075,1,89,3,13,30,5,12,67,71,26
29,NEAMŢ,COMPLEXUL EXPOZIȚIONAL MUNICIPAL,45,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1354,1344,3,7,0,468,461,0,7,0,456,12,1500,1032,3,98,5,2,63,3,28,106,111,40
29,NEAMŢ,DIRECȚIA AGRICOLĂ,43,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1329,1312,3,12,2,479,465,0,12,2,456,23,1400,921,3,105,6,6,47,4,18,86,142,42
29,NEAMŢ,GRĂDINIȚA CUPLATĂ CU CREŞĂ NR.5,15,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PROV,PRCNCT,P,P_SV,28/09/2020 11:10,1411,1398,2,11,0,480,469,0,11,0,452,15,1500,1031,3,110,4,11,52,13,18,94,115,35
29,NEAMŢ,GRĂDINIȚA CUPLATĂ CU CREŞĂ NR.5,16,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1059,1053,1,5,0,316,311,0,5,0,295,21,1200,884,3,71,5,4,27,4,15,65,86,18
29,NEAMŢ,GRĂDINIŢA CU PROGRAM NORMAL NR.1,75,MUNICIPIUL PIATRA-NEAMŢ,120726,1,PART,PRCNCT,P,P_SV,28/09/2020 11:10,1521,1511,0,10,0,520,510,0,10,0,500,20,1700,1180,3,93,6,24,52,1,24,115,147,38
