Nr_sectie,Sectie_vot,Localitate,Inscrisi_permanente,Inscrisi_complementare,Votanti_permanente,Votanti_compl,Votanti-supl,Votanti_um,Total,Prezenta
1,?COALA GIMNAZIAL? NR.3,PIATRA-NEAM?,920,8,201,0,7,0,208,22.41
2,?COALA GIMNAZIAL? NR.3,PIATRA-NEAM?,926,0,205,0,7,0,212,22.89
3,?COALA GIMNAZIAL? NR.3,PIATRA-NEAM?,1.117,6,273,0,9,0,282,25.11
4,GR?DINI?A CU PROGRAM PRELUNGIT NR.6,PIATRA-NEAM?,967,0,248,0,15,0,263,27.19
5,COLEGIUL NA?IONAL ”PETRU RARE?”,PIATRA-NEAM?,1.748,5,239,0,7,0,246,14.03
6,LICEUL DE ARTE ”VICTOR BRAUNER” - CORPUL B,PIATRA-NEAM?,1.245,1,260,0,10,0,270,21.66
7,COLEGIUL NA?IONAL ”CALISTRAT HOGA?”,PIATRA-NEAM?,913,4,233,0,8,1,242,26.39
8,LICEUL TEHNOLOGIC ”SPIRU HARET”,PIATRA-NEAM?,1.253,2,283,0,9,0,292,23.26
9,LICEUL TEHOLOGIC ”SPIRU HARET”,PIATRA-NEAM?,1.1,0,243,0,11,0,254,23.09
10,GR?DINI?A CU PROGRAM PRELUNGIT NR.3 CORP B,PIATRA-NEAM?,1.018,1,223,0,9,1,233,22.86
11,LICEUL CU PROGRAM SPORTIV,PIATRA-NEAM?,1.3,1,323,0,7,0,330,25.36
12,LICEUL CU PROGRAM SPORTIV,PIATRA-NEAM?,1.121,0,275,0,0,0,275,24.53
13,?COALA GIMNAZIAL? NR.8,PIATRA-NEAM?,1.276,1,279,0,10,0,289,22.63
14,?COALA GIMNAZIAL? NR.8,PIATRA-NEAM?,1.438,0,294,0,9,0,303,21.07
15,GR?DINI?A CUPLAT? CU CRE?? NR.5,PIATRA-NEAM?,1.398,2,322,0,10,0,332,23.71
16,GR?DINI?A CUPLAT? CU CRE?? NR.5,PIATRA-NEAM?,1.053,1,207,0,4,0,211,20.01
17,GR?DINI?A CU PROGRAM PRELUNGIT NR.8,PIATRA-NEAM?,903,0,163,0,10,0,173,19.15
18,GR?DINI?A CU PROGRAM NORMAL OCOL,PIATRA-NEAM?,1.863,2,360,0,36,0,396,21.23
19,CENTRUL DE SPRIJIN ?I ASISTEN?? DE SPECIALITATE PENTRU COPII,PIATRA-NEAM?,1.448,2,236,0,12,0,248,17.10
20,?COALA GIMNAZIAL? NR.11,PIATRA-NEAM?,1.427,0,293,0,6,0,299,20.95
21,COLEGIUL NA?IONAL ”GH. ASACHI”,PIATRA-NEAM?,931,0,143,0,9,0,152,16.32
22,COLEGIUL NA?IONAL ”GH. ASACHI”,PIATRA-NEAM?,1.072,0,174,0,12,0,186,17.35
23,?COALA GIMNAZIAL? NR.5,PIATRA-NEAM?,1.495,1,274,0,4,0,278,18.58
24,?COALA GIMNAZIAL? NR.5,PIATRA-NEAM?,1.377,3,284,0,5,0,289,20.94
25,GR?DINI?A CU PROGRAM PRELUNGIT NR.12,PIATRA-NEAM?,1.331,1,230,0,11,0,241,18.09
26,GR?DINI?A CU PROGRAM PRELUNGIT NR.12,PIATRA-NEAM?,1.241,1,248,0,10,0,258,20.77
27,GR?DINI?A CU PROGRAM PRELUNGIT NR.12,PIATRA-NEAM?,1.327,0,269,0,7,0,276,20.79
